dt64,id,river_km_id,datetime,water_perc,ice_perc,other_perc,cloud_perc,nd_perc,qc,source
2017-07-29 17:08:52,32153,232808,2017-07-29T17:08:52,91,6,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-07-31 17:40:11,32203,232808,2017-07-31T17:40:11,0,0,0,97,3,high quality,Sentinel-1 Sentinel-2
2017-08-01 17:33:26,35093,232808,2017-08-01T17:33:26,79,19,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-08-02 10:10:50,35170,232808,2017-08-02T10:10:50,89,8,0,0,3,low quality,Sentinel-1 Sentinel-2
2017-08-03 17:16:56,35247,232808,2017-08-03T17:16:56,94,4,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-08-04 17:08:09,35313,232808,2017-08-04T17:08:09,88,10,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-08-05 17:00:35,35364,232808,2017-08-05T17:00:35,77,0,5,16,2,high quality,Sentinel-1 Sentinel-2
2017-08-07 17:32:35,35441,232808,2017-08-07T17:32:35,80,19,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-08-08 17:25:19,35518,232808,2017-08-08T17:25:19,88,8,0,0,4,low quality,Sentinel-1 Sentinel-2
2017-08-09 17:16:19,35595,232808,2017-08-09T17:16:19,95,4,0,0,1,low quality,Sentinel-1 Sentinel-2
2017-08-10 17:08:52,35662,232808,2017-08-10T17:08:52,82,16,0,0,2,low quality,Sentinel-1
2017-08-13 17:33:26,35714,232808,2017-08-13T17:33:26,84,14,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-08-13 17:33:26,35796,232808,2017-08-13T17:33:26,84,14,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-08-14 17:24:31,35873,232808,2017-08-14T17:24:31,89,9,0,0,2,low quality,Sentinel-1 Sentinel-2
2017-08-15 17:16:56,35950,232808,2017-08-15T17:16:56,63,10,25,0,2,high quality,Sentinel-1 Sentinel-2
2017-08-16 17:08:09,36014,232808,2017-08-16T17:08:09,94,5,0,0,1,low quality,Sentinel-1 Sentinel-2
